offset(byte),name(의미),size(bytes),설명,JSON 변환 이름의 의미,,,,,,,,
97,4호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
98,4호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
99,4호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
100,4호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
101,5호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
102,5호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
103,5호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
104,5호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
105,5호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
106,5호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
107,6호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
108,6호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
109,6호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
110,6호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
111,6호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
112,6호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
113,7호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
114,7호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
115,7호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
116,7호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
117,7호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
118,7호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
119,8호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
120,8호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
121,8호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
122,8호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
123,8호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
124,8호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
125,9호차 DCU 열림,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 열림,,,,,,,,
126,9호차 DCU Bypass,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU Bypass,,,,,,,,
127,9호차 DCU 내부비상 핸들,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 내부비상 핸들,,,,,,,,
128,9호차 DCU 외부비상 핸들 ,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 외부비상 핸들,,,,,,,,
129,9호차 DCU 고장,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 고장,,,,,,,,
130,9호차 DCU 도어 잠김 신호,1 ,bit0(DCU1) ~ bit1(DCU8),호차별 DCU 도어 잠김 신호,,,,,,,,
131,MCB 고장,1 ,bit0(2호차) bit1(4호차) bit2(8호차),MCB 고장,,,,,,,,
132,MCB 차단 확인 신호,1 ,bit0(2호차) bit1(4호차) bit2(8호차),MCB 차단 확인 신호,,,,,,,,
133,MCB 투입,1 ,bit0(2호차) bit1(4호차) bit2(8호차),MCB 투입,,,,,,,,
134,SIVK 투입,1 ,bit0(0호차) bit1(5호차) bit2(9호차),SIVK 투입,,,,,,,,
135,연장급전(ESK),1 ,bit0(3호차) bit1(6호차),연장급전(ESK),,,,,,,,
136,C/I SQS모드,1 ,bit0(1호차) bit1(2호차) bit2(4호차) bit3(7호차) bit4(8호차),C/I SQS모드,,,,,,,,
137,0호차 CM,1 ,bit4(ON_CMK) bit5(BYPASS_BCMK)  bit7(CMSB CPU FAULT),0호차 CM,,,,,,,,
138,5호차 CM,1 ,bit4(ON_CMK) bit5(BYPASS_BCMK)  bit7(CMSB CPU FAULT),5호차 CM,,,,,,,,
139,9호차 CM,1 ,bit4(ON_CMK) bit5(BYPASS_BCMK)  bit7(CMSB CPU FAULT),9호차 CM,,,,,,,,
140,ACM 보조 ON,1 ,bit0(2호차) bit1(4호차) bit2(8호차),ACM 보조 ON,,,,,,,,
141,0호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
142,0호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
143,1호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
144,1호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
145,2호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
146,2호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
147,3호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
148,3호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
149,4호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
150,4호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
151,5호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
152,5호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
153,6호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
154,6호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
155,7호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
156,7호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
157,8호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
158,8호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
159,9호차 ECU HCR BC압력              ,1 ,,호차별 ECU HCR BC압력,,,,,,,,
160,9호차 ECU TCR BC압력              ,1 ,,호차별 ECU TCR BC압력,,,,,,,,
161,1호차 전동기 전류,2 ,,호차별 전동기 전류,,,,,,,,
163,2호차 전동기 전류,2 ,,호차별 전동기 전류,,,,,,,,
165,4호차 전동기 전류,2 ,,호차별 전동기 전류,,,,,,,,
167,7호차 전동기 전류,2 ,,호차별 전동기 전류,,,,,,,,
169,8호차 전동기 전류,2 ,,호차별 전동기 전류,,,,,,,,
171,0호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
172,1호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
173,2호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
174,3호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
175,4호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
176,5호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
177,6호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
178,7호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
179,8호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
180,9호차 실내 온도값,1 ,,호차별 실내 온도,,,,,,,,
181,1호차 C/I PWM 값 (%),1 ,,호차별 C/I PWM (%),,,,,,,,
182,2호차 C/I PWM 값 (%),1 ,,호차별 C/I PWM (%),,,,,,,,
183,4호차 C/I PWM 값 (%),1 ,,호차별 C/I PWM (%),,,,,,,,
184,7호차 C/I PWM 값 (%),1 ,,호차별 C/I PWM (%),,,,,,,,
185,8호차 C/I PWM 값 (%),1 ,,호차별 C/I PWM (%),,,,,,,,
186,예비,1 ,,,,,,,,,,
